        Time / ns                e-field (t=0..end(0.00192)) (pb)_Z_0D_100 (3)/real
              0.33600001                  -2.2647526e-13
              0.33792001                  -3.5202451e-13
              0.33984001                   -5.320888e-13
              0.34176001                  -7.8119092e-13
              0.34368001                  -1.1124208e-12
              0.34560001                   -1.533762e-12
              0.34752001                  -2.0429886e-12
              0.34944001                   -2.621639e-12
              0.35136001                  -3.2290555e-12
              0.35328001                  -3.7988141e-12
              0.35520001                  -4.2397253e-12
              0.35712001                  -4.4454111e-12
              0.35904001                  -4.3147118e-12
              0.36096001                  -3.7850135e-12
              0.36288001                   -1.738958e-12
              0.36480001                  -6.9968196e-13
              0.36672001                  -2.7854482e-13
              0.36864001                  -1.1710336e-12
              0.37056001                  -4.1818805e-12
              0.37248001                  -1.0087748e-11
              0.37440001                  -1.9472535e-11
              0.37632001                  -3.2548214e-11
              0.37824001                  -4.9012527e-11
              0.38016001                  -6.8027486e-11
              0.38208001                  -8.8315556e-11
              0.38400001                  -1.0850688e-10
              0.38592001                  -1.2755021e-10
              0.38784001                  -1.4524627e-10
              0.38976001                  -1.6268963e-10
              0.39168001                     -1.8245e-10
              0.39360001                  -2.0854135e-10
              0.39552001                  -2.4580776e-10
              0.39744001                  -2.9925509e-10
              0.39936001                  -3.7326575e-10
              0.40128001                  -4.7080895e-10
              0.40320001                   -5.936257e-10
              0.40512001                  -7.4279666e-10
              0.40704001                  -1.1274008e-09
              0.40896001                  -1.3719292e-09
              0.41088001                  -1.6632965e-09
              0.41280001                  -2.0156752e-09
              0.41472001                  -2.4459184e-09
              0.41664001                  -2.9729188e-09
              0.41856001                   -3.617211e-09
              0.42048001                  -4.4016786e-09
              0.42240001                  -5.3494746e-09
              0.42432001                  -6.4895112e-09
              0.42624001                  -7.8583131e-09
              0.42816001                  -9.4962731e-09
              0.43008001                  -1.1456462e-08
              0.43200001                   -1.380465e-08
              0.43392001                  -1.6614546e-08
              0.43584001                  -1.9978122e-08
              0.43776001                  -2.4000201e-08
              0.43968001                  -2.8806607e-08
              0.44160001                  -3.4553942e-08
