        s / mm                Y (7)/real
               44.115502                    0.0012467207
               44.667656                    0.0012868365
               45.219809                    0.0013293414
               45.771962                    0.0013730942
               46.324115                    0.0014171256
               46.876268                    0.0014606461
               47.428421                    0.0015027412
               47.980574                    0.0015425778
               48.532727                    0.0015794808
                49.08488                    0.0016127233
               49.637033                    0.0016416679
               50.189186                     0.001665831
               50.741339                    0.0016847211
               51.293493                    0.0016978915
               51.845646                    0.0017050177
               52.397799                    0.0017058458
               52.949952                    0.0017001515
               53.502105                    0.0016877875
               54.054258                    0.0016687174
               54.606411                    0.0016428992
               55.158564                    0.0016103409
               55.710717                    0.0015712413
                56.26287                    0.0015257751
               56.815023                    0.0014740445
               57.367177                    0.0014163685
                57.91933                    0.0013531729
               58.471483                    0.0012847311
               59.023636                    0.0012113359
               59.575789                    0.0011335024
               60.127942                    0.0010517869
               60.680095                   0.00096656663
               61.232248                    0.0008782553
               61.784401                   0.00078750103
               62.336554                   0.00069485847
               62.888707                   0.00060073005
                63.44086                   0.00050570979
               63.993014                   0.00041039251
               64.545167                   0.00031520881
                65.09732                   0.00022073554
               65.649473                   0.00012752495
               66.201626                   3.5952463e-05
               66.753779                  -5.3443656e-05
               67.305932                  -0.00014018295
               67.858085                  -0.00022398042
               68.410238                  -0.00030431596
               68.962391                  -0.00038075059
               69.514544                  -0.00045317627
               70.066697                  -0.00052123243
               70.618851                  -0.00058447925
               71.171004                  -0.00064283575
               71.723157                  -0.00069615829
                72.27531                  -0.00074416873
               72.827463                   -0.0007867868
               73.379616                  -0.00082399427
               73.931769                  -0.00085570691
               74.483922                  -0.00088186407
               75.036075                   -0.0009025066
               75.588228                  -0.00091774678
               76.140381                  -0.00092761446
               76.692534                  -0.00093219186
               77.244688                  -0.00093171842
               77.796841                  -0.00092631185
               78.348994                   -0.0009160923
               78.901147                  -0.00090137954
                 79.4533                   -0.0008823843
               80.005453                  -0.00085928396
               80.557606                  -0.00083240808
               81.109759                  -0.00080198041
               81.661912                  -0.00076826484
               82.214065                  -0.00073167727
               82.766218                  -0.00069241896
               83.318371                  -0.00065068624
               83.870525                  -0.00060692756
               84.422678                  -0.00056145229
               84.974831                  -0.00051442881
               85.526984                  -0.00046617353
               86.079137                  -0.00041702687
                86.63129                  -0.00036722365
               87.183443                  -0.00031697959
               87.735596                  -0.00026660055
               88.287749                  -0.00021636386
               88.839902                  -0.00016638053
               89.392055                  -0.00011687578
               89.944208                  -6.8182758e-05
               90.496362                  -2.0377926e-05
               91.048515                   2.6464358e-05
               91.600668                   7.2055254e-05
               92.152821                    0.0001162235
               92.704974                   0.00015893091
               93.257127                   0.00020009497
                93.80928                   0.00023958619
               94.361433                   0.00027725657
               94.913586                   0.00031306313
               95.465739                   0.00034701916
               96.017892                    0.0003790344
               96.570046                   0.00040901011
               97.122199                   0.00043692478
               97.674352                   0.00046282071
               98.226505                   0.00048670292
               98.778658                   0.00050844452
               99.330811                    0.0005280369
               99.882964                   0.00054559961
               100.43512                   0.00056106729
               100.98727                   0.00057440456
               101.53942                   0.00058570726
               102.09158                   0.00059488709
               102.64373                   0.00060190512
               103.19588                    0.0006069183
               103.74804                   0.00060989218
               104.30019                   0.00061073948
               104.85234                   0.00060956033
               105.40449                   0.00060633771
               105.95665                   0.00060098704
                106.5088                   0.00059362398
               107.06095                   0.00058429556
               107.61311                    0.0005728638
               108.16526                   0.00055933777
               108.71741                   0.00054386101
               109.26957                   0.00052641111
               109.82172                   0.00050687224
               110.37387                    0.0004853259
               110.92603                   0.00046191831
               111.47818                    0.0004365519
