        Frequency / GHz                X (8)/abs,linear
               1.9180977                       4.4669357
               1.9235624                       4.4690866
                1.929027                       4.4722613
               1.9344917                       4.4763704
               1.9399564                       4.4812746
                1.945421                       4.4867912
               1.9508857                        4.492704
               1.9563503                       4.4987745
                1.961815                       4.5047547
               1.9672797                       4.5103999
               1.9727443                       4.5154815
                1.978209                       4.5197993
               1.9836737                       4.5231915
               1.9891383                       4.5255436
                1.994603                       4.5267946
               2.0000677                       4.5269406
               2.0055323                       4.5260353
                2.010997                       4.5241882
               2.0164617                       4.5215596
               2.0219263                       4.5183529
                2.027391                       4.5148045
               2.0328557                       4.5111723
               2.0383203                       4.5077223
                2.043785                       4.5047144
               2.0492497                       4.5023886
               2.0547143                       4.5009519
                2.060179                       4.5005664
               2.0656437                       4.5013401
               2.0711083                       4.5033202
                2.076573                       4.5064903
               2.0820377                       4.5107701
               2.0875023                       4.5160197
                2.092967                       4.5220468
               2.0984317                       4.5286166
               2.1038963                       4.5354643
                2.109361                        4.542309
               2.1148257                       4.5488684
               2.1202903                       4.5548739
                2.125755                       4.5600841
               2.1312197                       4.5642979
               2.1366843                       4.5673646
                2.142149                       4.5691924
               2.1476137                       4.5697531
               2.1530783                       4.5690844
                2.158543                       4.5672887
               2.1640076                       4.5645285
               2.1694723                        4.561019
                2.174937                       4.5570176
               2.1804016                       4.5528114
               2.1858663                       4.5487023
                2.191331                       4.5449915
               2.1967956                       4.5419634
               2.2022603                       4.5398698
                2.207725                       4.5389161
               2.2131896                       4.5392495
               2.2186543                       4.5409499
                2.224119                        4.544025
               2.2295836                       4.5484092
               2.2350483                       4.5539666
                2.240513                       4.5604977
               2.2459776                       4.5677503
               2.2514423                       4.5754323
                2.256907                       4.5832278
               2.2623716                        4.590813
               2.2678363                       4.5978738
                2.273301                       4.6041218
               2.2787656                       4.6093093
               2.2842303                       4.6132423
                2.289695                       4.6157906
               2.2951596                       4.6168951
               2.3006243                       4.6165709
                2.306089                        4.614908
               2.3115536                       4.6120671
