        s / mm                X/real
               -84.35658                   3.1284133e-06
              -84.075748                   3.3554666e-06
              -83.794916                   3.5982067e-06
              -83.514085                   3.8576592e-06
              -83.233253                   4.1349119e-06
              -82.952421                   4.4311161e-06
               -82.67159                   4.7474935e-06
              -82.390758                   5.0853421e-06
              -82.109926                   5.4460369e-06
              -81.829095                   5.8310331e-06
              -81.548263                    6.241872e-06
              -81.267431                   6.6801885e-06
              -80.986599                   7.1477152e-06
              -80.705768                   7.6462823e-06
              -80.424936                   8.1778251e-06
              -80.144104                    8.744397e-06
              -79.863273                   9.3481686e-06
              -79.582441                   9.9914308e-06
              -79.301609                    1.067661e-05
              -79.020778                   1.1406269e-05
              -78.739946                   1.2183113e-05
              -78.459114                   1.3010005e-05
              -78.178282                    1.388997e-05
              -77.897451                   1.4826194e-05
              -77.616619                    1.582204e-05
              -77.335787                   1.6881067e-05
              -77.054956                   1.8007025e-05
              -76.774124                    1.920386e-05
              -76.493292                   2.0475742e-05
              -76.212461                   2.1827068e-05
              -75.931629                   2.3262463e-05
              -75.650797                     2.47868e-05
              -75.369965                   2.6405216e-05
              -75.089134                   2.8123126e-05
              -74.808302                   2.9946225e-05
               -74.52747                   3.1880495e-05
              -74.246639                   3.3932241e-05
              -73.965807                   3.6108106e-05
              -73.684975                   3.8415055e-05
              -73.404144                   4.0860399e-05
              -73.123312                   4.3451859e-05
               -72.84248                   4.6197538e-05
              -72.561648                    4.910591e-05
              -72.280817                   5.2185899e-05
              -71.999985                   5.5446894e-05
              -71.719153                   5.8898721e-05
              -71.438322                   6.2551684e-05
               -71.15749                   6.6416611e-05
              -70.876658                   7.0504851e-05
              -70.595827                    7.482829e-05
              -70.314995                   7.9399397e-05
              -70.034163                    8.423123e-05
              -69.753331                    8.933747e-05
                -69.4725                   9.4732444e-05
              -69.191668                   0.00010043114
              -68.910836                   0.00010644922
              -68.630005                   0.00011280314
              -68.349173                   0.00011951007
              -68.068341                   0.00012658793
               -67.78751                    0.0001340555
              -67.506678                   0.00014193239
              -67.225846                   0.00015023909
              -66.945014                   0.00015899701
              -66.664183                   0.00016822849
              -66.383351                   0.00017795684
              -66.102519                   0.00018820635
              -65.821688                   0.00019900243
              -65.540856                   0.00021037156
              -65.260024                   0.00022234136
              -64.979193                    0.0002349406
              -64.698361                   0.00024819921
              -64.417529                   0.00026214835
              -64.136697                   0.00027682056
              -63.855866                   0.00029224982
              -63.575034                   0.00030847127
              -63.294202                   0.00032552139
              -63.013371                   0.00034343838
              -62.732539                   0.00036226199
              -62.451707                   0.00038203327
              -62.170876                   0.00040279491
              -61.890044                   0.00042459155
              -61.609212                   0.00044746934
               -61.32838                   0.00047147603
              -61.047549                   0.00049666135
              -60.766717                   0.00052307703
