        Frequency / GHz                Y (2)/abs,linear
               2.8853435                       3.8971084
               2.8908082                       3.8517883
               2.8962729                       3.7829052
               2.9017375                       3.6927709
               2.9072022                        3.584676
               2.9126669                       3.4629551
               2.9181315                       3.3330465
               2.9235962                       3.2015141
               2.9290609                       3.0759727
               2.9345255                       2.9648269
               2.9399902                       2.8767139
               2.9454549                       2.8195835
               2.9509195                       2.7995041
               2.9563842                       2.8195127
               2.9618489                        2.878969
               2.9673135                       2.9737137
               2.9727782                       3.0969386
               2.9782428                       3.2403617
               2.9837075                       3.3952919
               2.9891722                        3.553378
               2.9946368                       3.7070316
               3.0001015                       3.8496166
               3.0055662                       3.9755027
               3.0110308                       4.0800551
               3.0164955                       4.1596042
               3.0219602                       4.2114163
               3.0274248                       4.2336752
               3.0328895                       4.2254798
               3.0383542                       4.1868573
               3.0438188                       4.1187964
               3.0492835                       4.0233001
               3.0547482                       3.9034626
               3.0602128                         3.76357
               3.0656775                        3.609222
               3.0711422                        3.447456
               3.0766068                       3.2868247
               3.0820715                       3.1373288
               3.0875362                        3.010034
               3.0930008                       2.9161665
               3.0984655                       2.8655852
               3.1039302                       2.8648792
               3.1093948                       2.9158022
               3.1148595                       3.0148483
               3.1203242                       3.1541952
               3.1257888                       3.3234528
               3.1312535                       3.5113943
               3.1367182                       3.7071762
               3.1421828                       3.9009894
               3.1476475                       4.0843055
               3.1531122                       4.2499047
               3.1585768                       4.3918144
               3.1640415                       4.5052283
               3.1695062                       4.5864366
               3.1749708                       4.6327792
               3.1804355                       4.6426237
               3.1859001                       4.6153669
               3.1913648                       4.5514623
               3.1968295                       4.4524741
               3.2022941                       4.3211639
               3.2077588                       4.1616165
               3.2132235                        3.979413
               3.2186881                       3.7818525
               3.2241528                       3.5782014
               3.2296175                       3.3798971
               3.2350821                       3.2005217
               3.2405468                       3.0552052
               3.2460115                       2.9590328
               3.2514761                       2.9243085
               3.2569408                       2.9574151
               3.2624055                       3.0569062
               3.2678701                       3.2140824
               3.2733348                       3.4155893
               3.2787995                       3.6464038
               3.2842641                       3.8919753
               3.2897288                       4.1392901
               3.2951935                       4.3771877
               3.3006581                       4.5963107
               3.3061228                       4.7889329
               3.3115875                       4.9487824
               3.3170521                       5.0709017
               3.3225168                       5.1515529
               3.3279815                       5.1881646
               3.3334461                       5.1793154
               3.3389108                       5.1247494
               3.3443755                       5.0254253
               3.3498401                       4.8836045
               3.3553048                       4.7029888
               3.3607695                       4.4889264
               3.3662341                        4.248709
               3.3716988                       3.9919792
               3.3771635                       3.7312377
               3.3826281                       3.4823374
               3.3880928                       3.2646077
               3.3935574                        3.099853
               3.3990221                       3.0092307
               3.4044868                       3.0078973
               3.4099514                       3.0997567
               3.4154161                       3.2761187
               3.4208808                       3.5193143
               3.4263454                       3.8082182
               3.4318101                        4.122378
               3.4372748                       4.4438934
               3.4427394                       4.7577878
               3.4482041                       5.0517385
               3.4536688                       5.3156625
               3.4591334                       5.5413537
               3.4645981                       5.7222181
               3.4700628                        5.853102
               3.4755274                       5.9301925
               3.4809921                       5.9509732
               3.4864568                       5.9142244
               3.4919214                       5.8200617
               3.4973861                       5.6700179
               3.5028508                       5.4671802
               3.5083154                       5.2164058
               3.5137801                       4.9246567
               3.5192448                       4.6015141
               3.5247094                       4.2599448
               3.5301741                       3.9173665
               3.5356388                       3.5968703
               3.5411034                        3.327865
               3.5465681                       3.1442185
               3.5520328                       3.0772244
               3.5574974                       3.1439796
               3.5629621                       3.3392762
               3.5684268                       3.6390515
               3.5738914                       4.0114068
               3.5793561                       4.4256196
               3.5848208                       4.8558108
               3.5902854                       5.2812009
               3.5957501                        5.685214
               3.6012147                       6.0545094
               3.6066794                       6.3782496
               3.6121441                       6.6476153
               3.6176087                       6.8555094
               3.6230734                       6.9963907
               3.6285381                       7.0661944
               3.6340027                       7.0623138
               3.6394674                       6.9836285
               3.6449321                       6.8305766
               3.6503967                       6.6052818
               3.6558614                       6.3117574
               3.6613261                       5.9562363
               3.6667907                       5.5477117
               3.6722554                       5.0988337
               3.6777201                       4.6273956
               3.6831847                       4.1586933
               3.6886494                       3.7287741
               3.6941141                       3.3870156
               3.6995787                       3.1921939
               3.7050434                       3.1932643
               3.7105081                       3.4013419
               3.7159727                       3.7835553
               3.7214374                       4.2863548
               3.7269021                       4.8588538
               3.7323667                       5.4609826
               3.7378314                        6.062665
               3.7432961                       6.6410169
               3.7487607                       7.1780494
               3.7542254                       7.6591893
               3.7596901                       8.0724087
               3.7651547                       8.4077386
               3.7706194                       8.6570134
               3.7760841                        8.813755
               3.7815487                       8.8731403
               3.7870134                        8.832027
               3.7924781                       8.6890237
               3.7979427                       8.4446065
               3.8034074                       8.1013026
                3.808872                       7.6639803
               3.8143367                       7.1403347
               3.8198014                       6.5417377
                3.825266                       5.8847961
               3.8307307                       5.1942968
               3.8361954                       4.5087877
                 3.84166                       3.8902914
               3.8471247                        3.435476
               3.8525894                        3.265595
                3.858054                       3.4573544
               3.8635187                       3.9737574
               3.8689834                       4.7086945
                3.874448                       5.5642039
               3.8799127                       6.4721875
               3.8853774                       7.3869522
                3.890842                       8.2760125
               3.8963067                       9.1144692
               3.9017714                       9.8820399
                3.907236                       10.561551
               3.9127007                       11.138191
               3.9181654                       11.599156
                 3.92363                        11.93352
               3.9290947                       12.132208
               3.9345594                       12.188051
                3.940024                       12.095877
               3.9454887                       11.852646
               3.9509534                       11.457627
                3.956418                       10.912643
               3.9618827                       10.222466
               3.9673474                       9.3954701
                3.972812                       8.4448767
               3.9782767                       7.3913089
               3.9837414                       6.2685163
                3.989206                       5.1372301
               3.9946707                        4.119283
               4.0001354                       3.4608313
                  4.0056                       3.4955154
               4.0110647                       4.2769463
               4.0165293                       5.5274499
                4.021994                       7.0052205
