        s / mm                X (ytest=0)/real
              -7.2347344                     0.037437269
              -6.6825813                      0.03803611
              -6.1304282                      0.03860764
              -5.5782751                     0.039150019
               -5.026122                     0.039661535
              -4.4739689                     0.040140696
              -3.9218159                     0.040586014
              -3.3696628                     0.040996011
              -2.8175097                     0.041369342
              -2.2653566                     0.041704689
              -1.7132035                     0.042000753
              -1.1610504                     0.042256415
             -0.60889736                     0.042470681
            -0.056744272                     0.042642653
              0.49540881                     0.042771553
               1.0475619                     0.042856617
                1.599715                     0.042897221
               2.1518681                     0.042892999
               2.7040211                     0.042843637
               3.2561742                     0.042748856
               3.8083273                     0.042608594
               4.3604804                     0.042422974
               4.9126335                     0.042192206
               5.4647866                     0.041916577
               6.0169397                     0.041596513
               6.5690927                     0.041232677
               7.1212458                     0.040825837
               7.6733989                     0.040376766
                8.225552                     0.039886482
               8.7777051                     0.039356244
               9.3298582                     0.038787229
               9.8820112                     0.038180666
               10.434164                     0.037538094
               10.986317                     0.036861157
               11.538471                     0.036151482
               12.090624                     0.035410853
               12.642777                     0.034641173
                13.19493                     0.033844312
               13.747083                     0.033022266
               14.299236                     0.032177192
               14.851389                     0.031311178
               15.403542                      0.03042634
               15.955695                      0.02952499
               16.507848                     0.028609424
               17.060001                     0.027681799
               17.612154                     0.026744345
               18.164308                     0.025799422
               18.716461                     0.024849323
               19.268614                     0.023896236
               19.820767                     0.022942367
                20.37292                     0.021989955
               20.925073                     0.021041153
               21.477226                     0.020097995
               22.029379                      0.01916255
               22.581532                     0.018236861
               23.133685                     0.017322713
               23.685838                     0.016421864
               24.237991                     0.015536216
               24.790145                     0.014667366
               25.342298                      0.01381662
               25.894451                     0.012985533
               26.446604                     0.012175608
               26.998757                     0.011387866
                27.55091                     0.010623297
               28.103063                     0.009883046
               28.655216                    0.0091679918
               29.207369                    0.0084787434
               29.759522                    0.0078159374
               30.311675                    0.0071801597
               30.863828                    0.0065717608
               31.415982                    0.0059909548
               31.968135                    0.0054379239
               32.520288                    0.0049127181
               33.072441                    0.0044152103
               33.624594                    0.0039452193
               34.176747                    0.0035025529
                 34.7289                    0.0030868203
               35.281053                    0.0026974181
               35.833206                    0.0023338665
               36.385359                      0.00199571
               36.937512                    0.0016820988
               37.489665                    0.0013921231
               38.041819                    0.0011251445
               38.593972                   0.00088030928
               39.146125                   0.00065652925
               39.698278                   0.00045289679
               40.250431                   0.00026844541
               40.802584                   0.00010208022
               41.354737                  -4.7168149e-05
                41.90689                  -0.00018036334
               42.459043                   -0.0002986715
               43.011196                  -0.00040310066
               43.563349                  -0.00049463864
               44.115502                  -0.00057432767
               44.667656                  -0.00064321631
               45.219809                  -0.00070237691
               45.771962                  -0.00075272961
