        s / mm                Y (5)/real
              -6.6825813                     0.067729984
              -6.1304282                      0.06884872
              -5.5782751                     0.069923166
               -5.026122                     0.070950568
              -4.4739689                     0.071928148
              -3.9218159                     0.072853136
              -3.3696628                     0.073722973
              -2.8175097                     0.074535263
              -2.2653566                     0.075287585
              -1.7132035                     0.075977632
              -1.1610504                     0.076603316
             -0.60889736                     0.077162618
            -0.056744272                     0.077653664
              0.49540881                     0.078074837
               1.0475619                     0.078424606
                1.599715                     0.078701512
               2.1518681                     0.078904366
               2.7040211                     0.079032234
               3.2561742                     0.079084307
               3.8083273                     0.079059908
               4.3604804                     0.078958574
               4.9126335                     0.078780078
               5.4647866                     0.078524411
               6.0169397                     0.078191734
               6.5690927                     0.077782388
               7.1212458                     0.077296927
               7.6733989                     0.076736059
                8.225552                     0.076100682
               8.7777051                     0.075392023
               9.3298582                     0.074611506
               9.8820112                     0.073760545
               10.434164                     0.072840753
               10.986317                     0.071854054
               11.538471                     0.070802492
               12.090624                     0.069688234
               12.642777                     0.068513624
                13.19493                      0.06728109
               13.747083                     0.065993266
               14.299236                     0.064652965
               14.851389                     0.063262952
               15.403542                     0.061826091
               15.955695                     0.060345478
               16.507848                     0.058824236
               17.060001                     0.057265526
               17.612154                     0.055672607
               18.164308                     0.054048719
               18.716461                     0.052397141
               19.268614                     0.050721224
               19.820767                     0.049024299
                20.37292                     0.047309743
               20.925073                     0.045580898
               21.477226                     0.043840965
               22.029379                     0.042093264
               22.581532                     0.040341086
               23.133685                      0.03858741
               23.685838                     0.036835342
               24.237991                     0.035088163
               24.790145                     0.033348708
               25.342298                     0.031619594
               25.894451                     0.029903741
               26.446604                     0.028203921
               26.998757                     0.026522516
                27.55091                     0.024861965
               28.103063                      0.02322471
               28.655216                     0.021612811
               29.207369                     0.020028226
               29.759522                     0.018473075
               30.311675                     0.016949228
               30.863828                     0.015458144
               31.415982                      0.01400131
               31.968135                     0.012580285
               32.520288                      0.01119637
               33.072441                    0.0098506133
               33.624594                    0.0085439826
               34.176747                    0.0072774043
                 34.7289                    0.0060516798
               35.281053                    0.0048673791
               35.833206                    0.0037250162
               36.385359                    0.0026250969
               36.937512                    0.0015678099
               37.489665                    0.0005532949
               38.041819                  -0.00041810192
               38.593972                   -0.0013464411
               39.146125                   -0.0022320594
               39.698278                   -0.0030748939
               40.250431                    -0.003875047
               40.802584                   -0.0046330876
               41.354737                   -0.0053493479
                41.90689                   -0.0060240764
               42.459043                   -0.0066578095
               43.011196                   -0.0072510614
               43.563349                   -0.0078043973
               44.115502                   -0.0083184771
               44.667656                   -0.0087937884
               45.219809                   -0.0092309259
               45.771962                   -0.0096306771
               46.324115                   -0.0099936663
               46.876268                    -0.010320504
               47.428421                    -0.010611912
               47.980574                    -0.010868546
               48.532727                    -0.011091103
                49.08488                    -0.011280311
               49.637033                    -0.011436743
               50.189186                    -0.011561007
               50.741339                    -0.011653858
               51.293493                     -0.01171599
               51.845646                    -0.011747919
               52.397799                    -0.011750178
               52.949952                    -0.011723515
               53.502105                    -0.011668606
               54.054258                    -0.011585816
               54.606411                    -0.011475673
               55.158564                    -0.011338959
               55.710717                     -0.01117618
                56.26287                    -0.010987742
               56.815023                    -0.010774321
               57.367177                    -0.010536498
                57.91933                    -0.010274701
               58.471483                   -0.0099895406
               59.023636                   -0.0096816541
               59.575789                   -0.0093515186
               60.127942                   -0.0089997029
               60.680095                   -0.0086269671
               61.232248                   -0.0082339719
               61.784401                   -0.0078211805
               62.336554                   -0.0073892583
               62.888707                   -0.0069391441
                63.44086                   -0.0064715486
               63.993014                   -0.0059870555
               64.545167                   -0.0054866062
                65.09732                   -0.0049711768
               65.649473                   -0.0044415003
               66.201626                   -0.0038985166
               66.753779                   -0.0033433576
               67.305932                   -0.0027769565
               67.858085                    -0.002200294
               68.410238                    -0.001614606
               68.962391                   -0.0010210917
               69.514544                  -0.00042088654
               70.066697                   0.00018478484
               70.618851                   0.00079465113
               71.171004                    0.0014073429
               71.723157                    0.0020214314
                72.27531                    0.0026355971
               72.827463                    0.0032484695
               73.379616                     0.003858529
               73.931769                    0.0044643001
               74.483922                    0.0050642992
               75.036075                    0.0056569836
               75.588228                    0.0062408943
               76.140381                    0.0068145048
               76.692534                    0.0073761638
               77.244688                    0.0079243928
               77.796841                    0.0084578048
               78.348994                    0.0089748335
               78.901147                    0.0094738935
                 79.4533                    0.0099535684
               80.005453                     0.010412533
               80.557606                     0.010849389
               81.109759                     0.011262665
               81.661912                     0.011651076
               82.214065                     0.012013521
               82.766218                     0.012348775
               83.318371                     0.012655623
               83.870525                     0.012933049
               84.422678                      0.01318007
               84.974831                     0.013395777
               85.526984                     0.013579434
               86.079137                     0.013730279
                86.63129                     0.013847561
               87.183443                     0.013930723
               87.735596                     0.013979374
               88.287749                     0.013993194
               88.839902                     0.013971851
               89.392055                     0.013915112
               89.944208                     0.013822979
               90.496362                     0.013695523
               91.048515                     0.013532788
               91.600668                     0.013335031
               92.152821                     0.013102688
               92.704974                     0.012836101
               93.257127                     0.012535711
                93.80928                     0.012202309
               94.361433                     0.011836705
               94.913586                     0.011439544
               95.465739                      0.01101171
               96.017892                     0.010554354
               96.570046                     0.010068551
               97.122199                    0.0095553977
               97.674352                    0.0090161759
               98.226505                    0.0084522004
               98.778658                    0.0078648372
               99.330811                    0.0072555829
               99.882964                    0.0066259942
               100.43512                     0.005977641
               100.98727                     0.005312095
               101.53942                    0.0046310018
               102.09158                    0.0039361467
               102.64373                    0.0032293262
               103.19588                    0.0025122789
               103.74804                     0.001786809
               104.30019                    0.0010548057
               104.85234                   0.00031812258
               105.40449                  -0.00042143016
               105.95665                   -0.0011619451
                106.5088                   -0.0019014293
               107.06095                   -0.0026380348
               107.61311                   -0.0033700107
               108.16526                   -0.0040954234
               108.71741                   -0.0048122967
               109.26957                   -0.0055188644
               109.82172                   -0.0062133929
               110.37387                   -0.0068940253
               110.92603                   -0.0075589387
               111.47818                   -0.0082064729
               112.03033                   -0.0088349899
               112.58248                    -0.009442754
               113.13464                    -0.010028179
               113.68679                    -0.010589852
               114.23894                    -0.011126177
                114.7911                    -0.011635605
               115.34325                    -0.012116941
                115.8954                    -0.012568895
               116.44756                    -0.012990044
               116.99971                    -0.013379303
               117.55186                    -0.013735662
               118.10402                    -0.014057954
               118.65617                    -0.014345267
               119.20832                    -0.014596844
               119.76048                    -0.014811776
               120.31263                    -0.014989325
               120.86478                    -0.015129006
               121.41693                    -0.015230266
               121.96909                    -0.015292606
               122.52124                    -0.015315778
               123.07339                    -0.015299563
               123.62555                    -0.015243724
                124.1777                    -0.015148226
               124.72985                     -0.01501321
               125.28201                    -0.014838827
               125.83416                    -0.014625268
               126.38631                    -0.014372908
               126.93847                    -0.014082272
               127.49062                    -0.013753938
               128.04277                    -0.013388543
               128.59492                    -0.012986845
               129.14708                     -0.01254975
               129.69923                     -0.01207827
               130.25138                    -0.011573478
               130.80354                    -0.011036528
               131.35569                    -0.010468692
               131.90784                   -0.0098713621
                  132.46                   -0.0092460491
               133.01215                    -0.008594297
                133.5643                   -0.0079176747
               134.11646                   -0.0072179398
               134.66861                   -0.0064969681
               135.22076                   -0.0057565934
               135.77291                   -0.0049987476
               136.32507                   -0.0042254838
               136.87722                   -0.0034388427
               137.42937                   -0.0026409698
               137.98153                   -0.0018341042
               138.53368                   -0.0010204128
               139.08583                  -0.00020214329
               139.63799                   0.00061833346
               140.19014                    0.0014387502
