        s / mm                Z (8)/real
               93.257127                      0.24382277
                93.80928                      0.26581517
               94.361433                      0.28725655
               94.913586                      0.30808889
               95.465739                      0.32825534
               96.017892                      0.34769977
               96.570046                      0.36636707
               97.122199                      0.38420396
               97.674352                      0.40115886
               98.226505                      0.41718169
               98.778658                      0.43222439
               99.330811                      0.44624114
               99.882964                      0.45918833
               100.43512                      0.47102475
               100.98727                       0.4817118
               101.53942                      0.49121368
               102.09158                      0.49949754
               102.64373                      0.50653349
               103.19588                      0.51229462
               103.74804                      0.51675742
               104.30019                      0.51990205
               104.85234                      0.52171193
               105.40449                      0.52217372
               105.95665                      0.52127806
                106.5088                      0.51901962
               107.06095                      0.51539648
               107.61311                      0.51041042
               108.16526                      0.50406736
               108.71741                      0.49637714
               109.26957                       0.4873533
               109.82172                      0.47701345
               110.37387                       0.4653791
               110.92603                       0.4524754
               111.47818                      0.43833149
               112.03033                      0.42298041
               112.58248                      0.40645858
               113.13464                      0.38880607
               113.68679                      0.37006674
               114.23894                      0.35028778
                114.7911                      0.32951947
               115.34325                      0.30781528
                115.8954                      0.28523188
               116.44756                      0.26182878
               116.99971                      0.23766805
               117.55186                      0.21281426
               118.10402                      0.18733444
               118.65617                       0.1612977
               119.20832                      0.13477504
               119.76048                      0.10783929
               120.31263                     0.080564688
               120.86478                     0.053026664
               121.41693                     0.025301816
               121.96909                   -0.0025323755
               122.52124                    -0.030398103
               123.07339                     -0.05821728
               123.62555                    -0.085911472
                124.1777                     -0.11340248
               124.72985                     -0.14061282
               125.28201                     -0.16746557
               125.83416                     -0.19388447
               126.38631                     -0.21979469
               126.93847                     -0.24512293
               127.49062                     -0.26979727
               128.04277                      -0.2937477
               128.59492                      -0.3169065
               129.14708                     -0.33920823
               129.69923                     -0.36058996
               130.25138                     -0.38099149
               130.80354                     -0.40035547
               131.35569                     -0.41862779
               131.90784                     -0.43575772
                  132.46                     -0.45169783
               133.01215                     -0.46640426
                133.5643                     -0.47983696
               134.11646                     -0.49195975
               134.66861                     -0.50274038
               135.22076                     -0.51215074
               135.77291                     -0.52016679
               136.32507                     -0.52676859
               136.87722                      -0.5319405
               137.42937                     -0.53567136
               137.98153                     -0.53795418
               138.53368                     -0.53878614
               139.08583                     -0.53816884
               139.63799                     -0.53610831
               140.19014                     -0.53261458
               140.74229                     -0.52770189
               141.29445                     -0.52138864
                141.8466                      -0.5136972
               142.39875                     -0.50465392
                142.9509                     -0.49428915
               143.50306                     -0.48263667
               144.05521                     -0.46973364
               144.60736                     -0.45562097
               145.15952                     -0.44034302
               145.71167                     -0.42394694
               146.26382                     -0.40648263
               146.81598                     -0.38800297
               147.36813                     -0.36856354
               147.92028                     -0.34822216
               148.47244                     -0.32703869
               149.02459                     -0.30507496
               149.57674                      -0.2823947
               150.12889                     -0.25906312
               150.68105                     -0.23514666
                151.2332                     -0.21071289
               151.78535                     -0.18583041
               152.33751                     -0.16056836
               152.88966                     -0.13499628
               153.44181                       -0.109184
               153.99397                    -0.083201415
               154.54612                    -0.057118351
               155.09827                    -0.031004132
               155.65043                   -0.0049272826
               156.20258                     0.021044169
               156.75473                     0.046842947
               157.30688                     0.072403334
               157.85904                     0.097660953
               158.41119                       0.1225525
               158.96334                      0.14701649
                159.5155                      0.17099341
               160.06765                      0.19442538
                160.6198                      0.21725673
               161.17196                       0.2394342
               161.72411                      0.26090635
               162.27626                      0.28162421
               162.82842                      0.30154177
               163.38057                       0.3206153
               163.93272                      0.33880343
               164.48487                      0.35606791
               165.03703                      0.37237334
               165.58918                      0.38768675
               166.14133                      0.40197811
               166.69349                      0.41522051
               167.24564                      0.42738976
               167.79779                       0.4384646
               168.34995                      0.44842682
                168.9021                      0.45726097
               169.45425                      0.46495431
               170.00641                      0.47149715
               170.55856                      0.47688287
               171.11071                       0.4811075
               171.66286                      0.48416954
               172.21502                      0.48607034
               172.76717                      0.48681406
               173.31932                      0.48640747
               173.87148                      0.48485972
               174.42363                      0.48218235
               174.97578                      0.47838932
               175.52794                      0.47349702
               176.08009                      0.46752407
               176.63224                      0.46049105
                177.1844                      0.45242075
               177.73655                      0.44333799
                178.2887                      0.43326926
               178.84086                      0.42224279
               179.39301                      0.41028884
               179.94516                      0.39743926
               180.49731                      0.38372704
               181.04947                      0.36918672
               181.60162                      0.35385449
               182.15377                      0.33776763
               182.70593                      0.32096438
               183.25808                      0.30348416
               183.81023                      0.28536759
               184.36239                      0.26665598
               184.91454                      0.24739137
               185.46669                      0.22761673
               186.01885                      0.20737569
                 186.571                      0.18671231
               187.12315                      0.16567122
                187.6753                      0.14429759
               188.22746                      0.12263684
               188.77961                      0.10073463
               189.33176                     0.078636956
               189.88392                     0.056389996
               190.43607                     0.034039847
               190.98822                     0.011632753
               191.54038                    -0.010784992
               192.09253                    -0.033167348
               192.64468                     -0.05546838
               193.19684                    -0.077642195
               193.74899                    -0.099643336
               194.30114                     -0.12142677
               194.85329                     -0.14294765
               195.40545                     -0.16416156
                195.9576                     -0.18502475
               196.50975                      -0.2054938
               197.06191                      -0.2255259
               197.61406                     -0.24507914
               198.16621                     -0.26411229
               198.71837                     -0.28258467
               199.27052                     -0.30045657
               199.82267                      -0.3176892
               200.37483                     -0.33424465
               200.92698                     -0.35008619
               201.47913                     -0.36517813
               202.03128                     -0.37948574
               202.58344                     -0.39297569
               203.13559                     -0.40561611
               203.68774                      -0.4173763
                204.2399                     -0.42822689
               204.79205                      -0.4381402
                205.3442                     -0.44709019
               205.89636                      -0.4550522
               206.44851                      -0.4620034
               207.00066                     -0.46792303
               207.55282                     -0.47279206
               208.10497                     -0.47659314
               208.65712                      -0.4793112
               209.20927                     -0.48093346
               209.76143                       -0.481449
               210.31358                     -0.48084902
               210.86573                     -0.47912734
               211.41789                     -0.47628013
               211.97004                     -0.47230578
               212.52219                     -0.46720521
               213.07435                     -0.46098195
                213.6265                     -0.45364205
               214.17865                     -0.44519415
               214.73081                     -0.43564964
               215.28296                     -0.42502258
               215.83511                     -0.41332963
               216.38726                     -0.40059025
               216.93942                     -0.38682667
               217.49157                      -0.3720637
               218.04372                     -0.35632887
               218.59588                     -0.33965271
               219.14803                     -0.32206829
               219.70018                     -0.30361114
               220.25234                     -0.28431953
               220.80449                     -0.26423439
               221.35664                      -0.2433991
                221.9088                     -0.22185945
               222.46095                     -0.19966357
                223.0131                     -0.17686176
               223.56525                     -0.15350659
               224.11741                      -0.1296528
               224.66956                     -0.10535684
               225.22171                    -0.080677019
               225.77387                    -0.055673515
               226.32602                    -0.030407932
               226.87817                   -0.0049430144
               227.43033                     0.020657033
               227.98248                     0.046326764
               228.53463                      0.07200014
               229.08679                     0.097610496
               229.63894                      0.12309042
               230.19109                      0.14837222
               230.74325                      0.17338817
                231.2954                       0.1980705
               231.84755                      0.22235176
                232.3997                      0.24616506
               232.95186                      0.26944408
               233.50401                      0.29212331
               234.05616                      0.31413851
               234.60832                      0.33542685
               235.16047                      0.35592675
               235.71262                      0.37557825
               236.26478                      0.39432354
               236.81693                      0.41210706
               237.36908                      0.42887532
               237.92124                      0.44457723
               238.47339                      0.45916448
               239.02554                       0.4725917
               239.57769                      0.48481649
               240.12985                      0.49579951
                 240.682                      0.50550474
               241.23415                      0.51389976
               241.78631                      0.52095571
               242.33846                       0.5266472
               242.89061                      0.53095275
               243.44277                      0.53385506
               243.99492                      0.53534066
               244.54707                      0.53539987
               245.09923                      0.53402725
               245.65138                       0.5312218
               246.20353                      0.52698654
               246.75568                      0.52132848
               247.30784                      0.51425898
               247.85999                       0.5057937
               248.41214                      0.49595234
                248.9643                      0.48475875
               249.51645                      0.47224093
                250.0686                      0.45843069
               250.62076                      0.44336372
               251.17291                      0.42707981
               251.72506                      0.40962245
               252.27722                      0.39103832
               252.82937                      0.37137764
               253.38152                      0.35069434
               253.93367                      0.32904529
               254.48583                      0.30648999
               255.03798                      0.28309096
               255.59013                       0.2589135
               256.14229                      0.23402504
               256.69444                      0.20849519
               257.24659                      0.18239567
               257.79875                      0.15579981
                258.3509                      0.12878236
               258.90305                      0.10141956
               259.45521                     0.073788594
               260.00736                     0.045967252
               260.55951                     0.018034028
               261.11166                   -0.0099322789
               261.66382                    -0.037853047
               262.21597                    -0.065649767
               262.76812                    -0.093244267
               263.32028                      -0.1205593
               263.87243                     -0.14751863
               264.42458                       -0.174047
               264.97674                     -0.20007061
               265.52889                     -0.22551752
               266.08104                     -0.25031771
                266.6332                     -0.27440312
               267.18535                       -0.297708
                267.7375                     -0.32016921
               268.28965                      -0.3417263
               268.84181                     -0.36232164
               269.39396                     -0.38190082
               269.94611                     -0.40041261
               270.49827                     -0.41780899
               271.05042                     -0.43404551
               271.60257                     -0.44908145
               272.15473                     -0.46287962
               272.70688                     -0.47540674
               273.25903                     -0.48663355
               273.81119                     -0.49653448
               274.36334                       -0.505088
