        s / mm                Y/real
              -80.705768                   7.6462815e-06
              -80.424936                   8.1778242e-06
              -80.144104                   8.7443954e-06
              -79.863273                   9.3481656e-06
              -79.582441                   9.9914276e-06
              -79.301609                   1.0676608e-05
              -79.020778                   1.1406268e-05
              -78.739946                   1.2183114e-05
              -78.459114                   1.3010006e-05
              -78.178282                   1.3889972e-05
              -77.897451                   1.4826198e-05
              -77.616619                   1.5822045e-05
              -77.335787                   1.6881072e-05
              -77.054956                   1.8007028e-05
              -76.774124                   1.9203863e-05
              -76.493292                   2.0475745e-05
              -76.212461                   2.1827071e-05
              -75.931629                   2.3262466e-05
              -75.650797                   2.4786803e-05
              -75.369965                   2.6405219e-05
              -75.089134                   2.8123128e-05
              -74.808302                   2.9946228e-05
               -74.52747                   3.1880498e-05
              -74.246639                   3.3932242e-05
              -73.965807                   3.6108112e-05
              -73.684975                   3.8415065e-05
              -73.404144                    4.086041e-05
              -73.123312                   4.3451871e-05
               -72.84248                    4.619755e-05
              -72.561648                   4.9105918e-05
              -72.280817                   5.2185902e-05
              -71.999985                   5.5446895e-05
              -71.719153                   5.8898724e-05
              -71.438322                   6.2551689e-05
               -71.15749                   6.6416614e-05
              -70.876658                   7.0504848e-05
              -70.595827                   7.4828286e-05
              -70.314995                   7.9399394e-05
              -70.034163                   8.4231224e-05
              -69.753331                   8.9337462e-05
                -69.4725                   9.4732444e-05
              -69.191668                   0.00010043114
              -68.910836                   0.00010644922
              -68.630005                   0.00011280314
              -68.349173                   0.00011951006
              -68.068341                    0.0001265879
               -67.78751                   0.00013405548
              -67.506678                   0.00014193239
              -67.225846                   0.00015023911
              -66.945014                   0.00015899703
              -66.664183                    0.0001682285
              -66.383351                   0.00017795684
              -66.102519                   0.00018820637
              -65.821688                   0.00019900246
              -65.540856                    0.0002103716
              -65.260024                   0.00022234141
              -64.979193                   0.00023494065
              -64.698361                   0.00024819927
              -64.417529                   0.00026214842
              -64.136697                   0.00027682063
              -63.855866                   0.00029224988
              -63.575034                   0.00030847134
              -63.294202                   0.00032552149
              -63.013371                   0.00034343851
              -62.732539                    0.0003622621
              -62.451707                   0.00038203336
              -62.170876                   0.00040279503
              -61.890044                   0.00042459163
              -61.609212                   0.00044746936
               -61.32838                   0.00047147611
              -61.047549                   0.00049666155
              -60.766717                   0.00052307725
