        s / mm                X (7)/real
              -4.4739689                      0.36643558
              -3.9218159                      0.37011982
              -3.3696628                      0.37345882
              -2.8175097                      0.37644004
              -2.2653566                      0.37905179
              -1.7132035                      0.38128329
              -1.1610504                      0.38312474
             -0.60889736                      0.38456727
            -0.056744272                      0.38560311
              0.49540881                      0.38622568
               1.0475619                      0.38642957
                1.599715                      0.38621048
               2.1518681                      0.38556535
               2.7040211                      0.38449251
               3.2561742                      0.38299159
               3.8083273                      0.38106346
               4.3604804                      0.37871032
               4.9126335                      0.37593576
               5.4647866                      0.37274471
               6.0169397                      0.36914346
               6.5690927                      0.36513963
               7.1212458                      0.36074206
               7.6733989                      0.35596093
                8.225552                       0.3508078
               8.7777051                      0.34529538
               9.3298582                      0.33943743
               9.8820112                      0.33324892
               10.434164                        0.326746
               10.986317                      0.31994574
               11.538471                       0.3128661
               12.090624                      0.30552602
               12.642777                      0.29794536
                13.19493                      0.29014446
               13.747083                      0.28214428
               14.299236                      0.27396655
               14.851389                      0.26563348
               15.403542                       0.2571674
               15.955695                      0.24859107
               16.507848                      0.23992752
               17.060001                      0.23119971
               17.612154                      0.22243056
               18.164308                      0.21364297
               18.716461                       0.2048597
               19.268614                      0.19610309
               19.820767                        0.187395
                20.37292                      0.17875692
               20.925073                      0.17020983
               21.477226                      0.16177392
               22.029379                      0.15346866
               22.581532                       0.1453127
               23.133685                      0.13732367
               23.685838                      0.12951833
               24.237991                      0.12191258
               24.790145                      0.11452102
               25.342298                      0.10735698
               25.894451                      0.10043284
               26.446604                     0.093759754
               26.998757                     0.087347443
                27.55091                     0.081204372
               28.103063                     0.075337821
               28.655216                     0.069753734
               29.207369                     0.064456657
               29.759522                     0.059449814
               30.311675                      0.05473516
               30.863828                     0.050313381
               31.415982                     0.046183873
               31.968135                      0.04234477
               32.520288                     0.038793045
               33.072441                     0.035524523
               33.624594                     0.032533833
               34.176747                     0.029814564
                 34.7289                     0.027359412
               35.281053                     0.025160085
               35.833206                     0.023207327
               36.385359                     0.021491164
               36.937512                      0.02000093
               37.489665                     0.018725227
               38.041819                     0.017652103
               38.593972                     0.016769202
               39.146125                     0.016063705
               39.698278                     0.015522343
               40.250431                      0.01513168
               40.802584                      0.01487832
               41.354737                     0.014748659
                41.90689                     0.014728841
               42.459043                     0.014805281
               43.011196                     0.014964783
               43.563349                     0.015194122
               44.115502                     0.015480247
               44.667656                     0.015810684
               45.219809                     0.016173372
               45.771962                     0.016556675
               46.324115                     0.016949567
               46.876268                     0.017341506
               47.428421                     0.017722557
               47.980574                     0.018083626
               48.532727                     0.018416255
                49.08488                     0.018712596
               49.637033                     0.018965669
               50.189186                     0.019169314
               50.741339                     0.019318035
               51.293493                     0.019407151
               51.845646                     0.019432881
               52.397799                      0.01939215
               52.949952                     0.019282555
               53.502105                     0.019102624
               54.054258                     0.018851681
               54.606411                     0.018529527
               55.158564                     0.018136696
               55.710717                     0.017674591
                56.26287                     0.017145124
               56.815023                     0.016550714
               57.367177                     0.015894422
                57.91933                     0.015179732
               58.471483                     0.014410573
               59.023636                     0.013591433
               59.575789                     0.012727073
               60.127942                     0.011822395
               60.680095                     0.010882642
               61.232248                    0.0099133882
               61.784401                    0.0089203182
               62.336554                    0.0079091098
               62.888707                    0.0068854872
                63.44086                    0.0058552393
               63.993014                    0.0048241462
               64.545167                    0.0037978812
                65.09732                    0.0027818987
               65.649473                    0.0017814859
               66.201626                   0.00080187119
               66.753779                   -0.0001520124
               67.305932                    -0.001075691
               67.858085                   -0.0019648889
               68.410238                   -0.0028154984
               68.962391                   -0.0036238708
               69.514544                   -0.0043868249
               70.066697                   -0.0051014855
               70.618851                   -0.0057653081
               71.171004                   -0.0063761944
               71.723157                   -0.0069324859
                72.27531                   -0.0074328588
               72.827463                   -0.0078763721
               73.379616                   -0.0082625499
               73.931769                   -0.0085912635
               74.483922                   -0.0088627121
               75.036075                   -0.0090775026
               75.588228                   -0.0092365485
               76.140381                   -0.0093410726
               76.692534                    -0.009392652
               77.244688                   -0.0093930398
               77.796841                   -0.0093442148
               78.348994                   -0.0092485313
               78.901147                    -0.009108465
                 79.4533                   -0.0089265564
               80.005453                   -0.0087056284
               80.557606                   -0.0084485735
               81.109759                   -0.0081582364
               81.661912                   -0.0078376846
               82.214065                   -0.0074900613
               82.766218                   -0.0071183282
               83.318371                   -0.0067254882
               83.870525                   -0.0063146407
               84.422678                   -0.0058887054
               84.974831                   -0.0054504312
               85.526984                     -0.00500259
               86.079137                   -0.0045479029
                86.63129                   -0.0040888491
               87.183443                   -0.0036277309
               87.735596                    -0.003166808
               88.287749                   -0.0027081604
               88.839902                    -0.002253627
               89.392055                   -0.0018049601
               89.944208                   -0.0013637292
               90.496362                  -0.00093124149
               91.048515                   -0.0005087643
               91.600668                  -9.7418994e-05
               92.152821                   0.00030201448
               92.704974                   0.00068879105
               93.257127                    0.0010621701
                93.80928                    0.0014217506
               94.361433                    0.0017672659
               94.913586                    0.0020983697
               95.465739                    0.0024148925
               96.017892                    0.0027168146
               96.570046                    0.0030041001
               97.122199                    0.0032768019
               97.674352                    0.0035350142
               98.226505                    0.0037788202
               98.778658                    0.0040083863
               99.330811                    0.0042238582
               99.882964                    0.0044253337
               100.43512                    0.0046129439
               100.98727                    0.0047867326
               101.53942                    0.0049466957
               102.09158                    0.0050928867
               102.64373                    0.0052252554
               103.19588                    0.0053436341
               103.74804                    0.0054478171
               104.30019                     0.005537545
               104.85234                    0.0056125921
               105.40449                     0.005672628
               105.95665                     0.005717091
                106.5088                    0.0057455374
               107.06095                     0.005757596
               107.61311                    0.0057525979
               108.16526                    0.0057298731
               108.71741                    0.0056889373
               109.26957                    0.0056291598
               109.82172                    0.0055498661
               110.37387                    0.0054505316
               110.92603                    0.0053305677
               111.47818                     0.005189364
               112.03033                    0.0050265198
               112.58248                    0.0048417215
               113.13464                    0.0046345616
               113.68679                    0.0044047281
               114.23894                    0.0041522521
                114.7911                    0.0038772561
               115.34325                    0.0035797334
                115.8954                    0.0032599557
               116.44756                    0.0029185762
               116.99971                    0.0025562016
               117.55186                     0.002173515
               118.10402                     0.001771598
               118.65617                    0.0013517048
               119.20832                   0.00091515202
               119.76048                    0.0004634944
               120.31263                  -1.5051494e-06
               120.86478                  -0.00047790279
               121.41693                   -0.0009635525
               121.96909                    -0.001456202
               122.52124                   -0.0019534207
               123.07339                   -0.0024525241
               123.62555                   -0.0029507789
                124.1777                   -0.0034454094
               124.72985                   -0.0039333889
               125.28201                    -0.004411579
               125.83416                   -0.0048769139
               126.38631                   -0.0053262723
               126.93847                   -0.0057564352
               127.49062                   -0.0061641748
               128.04277                   -0.0065462953
               128.59492                   -0.0068997347
               129.14708                    -0.007221526
               129.69923                   -0.0075086558
               130.25138                   -0.0077582614
               130.80354                   -0.0079678193
               131.35569                    -0.008134944
               131.90784                   -0.0082573168
                  132.46                   -0.0083328826
               133.01215                   -0.0083599297
                133.5643                   -0.0083370694
               134.11646                   -0.0082631592
               134.66861                   -0.0081372586
               135.22076                   -0.0079588515
               135.77291                   -0.0077279184
               136.32507                   -0.0074446584
               136.87722                   -0.0071095584
               137.42937                     -0.00672366
               137.98153                   -0.0062883623
               138.53368                   -0.0058052949
               139.08583                   -0.0052765755
               139.63799                   -0.0047047944
               140.19014                   -0.0040927985
               140.74229                   -0.0034437509
               141.29445                   -0.0027612308
                141.8466                   -0.0020491454
               142.39875                   -0.0013116552
                142.9509                  -0.00055321729
               143.50306                   0.00022141046
               144.05521                    0.0010072882
               144.60736                    0.0017993189
               145.15952                    0.0025921876
               145.71167                    0.0033804738
               146.26382                    0.0041587381
               146.81598                    0.0049214099
               147.36813                    0.0056628507
               147.92028                    0.0063775898
               148.47244                    0.0070603085
               149.02459                    0.0077056848
               149.57674                    0.0083084596
               150.12889                    0.0088636802
               150.68105                    0.0093667683
                151.2332                    0.0098133325
               151.78535                     0.010199189
               152.33751                     0.010520629
               152.88966                     0.010774412
               153.44181                     0.010957633
               153.99397                     0.011067816
               154.54612                     0.011103015
               155.09827                     0.011061851
               155.65043                     0.010943469
               156.20258                      0.01074743
               156.75473                     0.010473889
               157.30688                     0.010123736
               157.85904                    0.0096983246
               158.41119                    0.0091994511
               158.96334                    0.0086296636
                159.5155                     0.007992085
               160.06765                    0.0072902021
                160.6198                    0.0065281257
               161.17196                    0.0057105684
               161.72411                    0.0048425641
               162.27626                    0.0039295969
               162.82842                    0.0029776908
               163.38057                    0.0019931728
               163.93272                   0.00098265249
               164.48487                  -4.6888396e-05
               165.03703                   -0.0010882631
               165.58918                   -0.0021341568
               166.14133                   -0.0031770293
               166.69349                    -0.004209246
               167.24564                   -0.0052232551
               167.79779                   -0.0062115052
               168.34995                   -0.0071664484
                168.9021                   -0.0080807455
               169.45425                   -0.0089472969
               170.00641                   -0.0097592008
               170.55856                    -0.010509896
               171.11071                    -0.011193237
               171.66286                    -0.011803432
               172.21502                    -0.012335141
               172.76717                     -0.01278361
               173.31932                    -0.013144649
               173.87148                    -0.013414598
               174.42363                    -0.013590435
               174.97578                    -0.013669854
               175.52794                    -0.013651233
               176.08009                    -0.013533605
               176.63224                    -0.013316726
                177.1844                    -0.013001142
               177.73655                    -0.012588134
                178.2887                    -0.012079658
               178.84086                    -0.011478385
               179.39301                    -0.010787771
               179.94516                    -0.010012016
               180.49731                   -0.0091558847
               181.04947                   -0.0082247218
               181.60162                   -0.0072246608
               182.15377                   -0.0061624467
               182.70593                   -0.0050451142
               183.25808                   -0.0038802054
               183.81023                   -0.0026759114
               184.36239                   -0.0014406794
               184.91454                   -0.0001831482
               185.46669                    0.0010876312
               186.01885                     0.002362467
                 186.571                     0.003632207
               187.12315                     0.004887463
                187.6753                    0.0061188033
               188.22746                     0.007317162
               188.77961                    0.0084735707
               189.33176                    0.0095790508
               189.88392                     0.010625123
               190.43607                     0.011603788
               190.98822                     0.012507217
               191.54038                     0.013328117
               192.09253                     0.014059954
               192.64468                     0.014696671
               193.19684                     0.015232765
               193.74899                     0.015663539
               194.30114                     0.015985036
               194.85329                     0.016194037
               195.40545                     0.016288172
                195.9576                     0.016265882
               196.50975                     0.016126402
               197.06191                     0.015869866
               197.61406                     0.015497303
               198.16621                     0.015010534
               198.71837                     0.014412201
               199.27052                     0.013705855
               199.82267                     0.012895881
               200.37483                     0.011987387
               200.92698                     0.010986234
               201.47913                    0.0098990348
               202.03128                    0.0087330505
               202.58344                    0.0074961453
               203.13559                    0.0061967713
               203.68774                    0.0048438772
                204.2399                    0.0034468402
               204.79205                    0.0020154484
                205.3442                   0.00055977129
               205.89636                  -0.00090994682
               206.44851                   -0.0023832303
               207.00066                   -0.0038495014
               207.55282                   -0.0052983084
               208.10497                   -0.0067191992
               208.65712                    -0.008101736
               209.20927                    -0.009435904
               209.76143                    -0.010712072
               210.31358                    -0.011920707
               210.86573                    -0.013052737
               211.41789                     -0.01409989
               211.97004                    -0.015054388
               212.52219                    -0.015908834
               213.07435                    -0.016656652
                213.6265                     -0.01729219
               214.17865                    -0.017810447
               214.73081                    -0.018207149
               215.28296                    -0.018478985
               215.83511                     -0.01862351
               216.38726                    -0.018639157
               216.93942                    -0.018525378
               217.49157                    -0.018282468
               218.04372                    -0.017911556
               218.59588                    -0.017414822
               219.14803                     -0.01679532
               219.70018                    -0.016056909
               220.25234                     -0.01520446
               220.80449                    -0.014243598
               221.35664                    -0.013180549
                221.9088                    -0.012022471
               222.46095                    -0.010777305
                223.0131                   -0.0094533807
               223.56525                   -0.0080596411
               224.11741                    -0.006605752
