        Frequency / GHz                X (5)/abs,linear
               3.2350821                         5.17854
               3.2405468                       5.1678303
               3.2460115                       5.1591539
               3.2514761                       5.1531677
               3.2569408                       5.1503935
               3.2624055                       5.1511866
               3.2678701                       5.1557121
               3.2733348                        5.163933
               3.2787995                       5.1756104
               3.2842641                        5.190316
               3.2897288                       5.2074559
               3.2951935                       5.2263034
               3.3006581                       5.2460394
               3.3061228                       5.2657971
               3.3115875                       5.2847072
               3.3170521                       5.3019431
               3.3225168                       5.3167628
               3.3279815                       5.3285449
               3.3334461                       5.3368195
               3.3389108                       5.3412912
               3.3443755                       5.3418546
               3.3498401                        5.338601
               3.3553048                        5.331817
               3.3607695                       5.3219742
               3.3662341                       5.3097096
               3.3716988                       5.2957982
               3.3771635                       5.2811174
               3.3826281                       5.2666042
               3.3880928                       5.2532077
               3.3935574                       5.2418377
               3.3990221                       5.2333135
               3.4044868                       5.2283156
               3.4099514                       5.2273431
               3.4154161                       5.2306821
               3.4208808                       5.2383848
               3.4263454                       5.2502647
               3.4318101                       5.2659051
               3.4372748                       5.2846826
               3.4427394                       5.3058025
               3.4482041                       5.3283433
               3.4536688                       5.3513076
               3.4591334                       5.3736758
               3.4645981                       5.3944587
               3.4700628                        5.412748
               3.4755274                       5.4277604
               3.4809921                       5.4388759
               3.4864568                       5.4456673
               3.4919214                       5.4479216
               3.4973861                       5.4456521
               3.5028508                       5.4391003
               3.5083154                       5.4287286
               3.5137801                       5.4152027
               3.5192448                       5.3993642
               3.5247094                       5.3821935
               3.5301741                       5.3647636
               3.5356388                       5.3481871
               3.5411034                       5.3335577
               3.5465681                       5.3218888
               3.5520328                       5.3140544
               3.5574974                       5.3107351
               3.5629621                       5.3123736
               3.5684268                        5.319145
               3.5738914                       5.3309419
               3.5793561                        5.347379
               3.5848208                       5.3678142
               3.5902854                       5.3913859
               3.5957501                       5.4170621
               3.6012147                       5.4436991
               3.6066794                       5.4701037
               3.6121441                       5.4950959
               3.6176087                       5.5175692
               3.6230734                       5.5365445
               3.6285381                       5.5512173
               3.6340027                       5.5609955
               3.6394674                       5.5655275
               3.6449321                       5.5647205
               3.6503967                       5.5587475
               3.6558614                       5.5480439
               3.6613261                       5.5332921
               3.6667907                        5.515396
               3.6722554                       5.4954421
               3.6777201                       5.4746517
               3.6831847                       5.4543219
               3.6886494                       5.4357591
               3.6941141                       5.4202078
               3.6995787                       5.4087781
               3.7050434                       5.4023775
               3.7105081                       5.4016518
               3.7159727                       5.4069412
               3.7214374                       5.4182544
               3.7269021                       5.4352649
               3.7323667                       5.4573282
               3.7378314                       5.4835203
               3.7432961                       5.5126919
               3.7487607                        5.543535
               3.7542254                        5.574656
               3.7596901                       5.6046503
               3.7651547                       5.6321746
               3.7706194                        5.656013
               3.7760841                       5.6751344
               3.7815487                       5.6887405
               3.7870134                       5.6963024
               3.7924781                       5.6975862
               3.7979427                       5.6926662
               3.8034074                       5.6819265
                3.808872                       5.6660498
               3.8143367                       5.6459931
               3.8198014                       5.6229502
                3.825266                       5.5983016
               3.8307307                       5.5735507
               3.8361954                       5.5502494
                 3.84166                       5.5299161
               3.8471247                       5.5139478
