        Frequency / GHz                Z (8)/abs,linear
               2.0711083                       40.697633
                2.076573                       47.483772
               2.0820377                         54.8672
               2.0875023                       62.352983
                2.092967                       69.603971
               2.0984317                       76.378055
               2.1038963                       82.492036
                2.109361                       87.802379
               2.1148257                       92.195148
               2.1202903                       95.580795
                2.125755                       97.891546
               2.1312197                       99.080199
               2.1366843                       99.119724
                2.142149                       98.003374
               2.1476137                       95.745211
               2.1530783                       92.381102
                2.158543                       87.970434
               2.1640076                       82.599069
               2.1694723                       76.384562
                2.174937                       69.485598
               2.1804016                         62.1194
               2.1858663                       54.594003
                2.191331                       47.365954
               2.1967956                       41.127392
               2.2022603                       36.861565
                2.207725                       35.621914
               2.2131896                       37.853768
               2.2186543                       42.994524
                2.224119                       50.002751
               2.2295836                       57.965043
               2.2350483                       66.241563
                2.240513                        74.39884
               2.2459776                       82.131299
               2.2514423                        89.21166
                2.256907                       95.463684
               2.2623716                       100.74773
               2.2678363                       104.95322
                2.273301                       107.99475
               2.2787656                       109.81022
               2.2842303                       110.36008
                2.289695                       109.62727
               2.2951596                        107.6176
               2.3006243                       104.36065
                2.306089                       99.911355
               2.3115536                       94.352645
               2.3170183                       87.800148
                2.322483                       80.410524
               2.3279476                       72.396759
               2.3334123                       64.056486
                2.338877                       55.823709
               2.3443416                       48.354344
               2.3498063                        42.61953
                2.355271                       39.824714
               2.3607356                       40.828603
               2.3662003                       45.423709
               2.3716649                       52.558971
               2.3771296                       61.119731
               2.3825943                       70.279268
               2.3880589                        79.47695
               2.3935236                       88.324678
               2.3989883                       96.539275
               2.4044529                       103.90396
               2.4099176                       110.24772
               2.4153823                       115.43452
               2.4208469                       119.35763
               2.4263116                       121.93692
               2.4317763                       123.11754
               2.4372409                       122.86963
               2.4427056                        121.1886
               2.4481703                       118.09586
               2.4536349                       113.64027
               2.4590996                       107.90055
               2.4645643                       100.98946
               2.4700289                       93.061144
               2.4754936                       84.324624
               2.4809583                       75.068723
               2.4864229                       65.708419
               2.4918876                        56.86674
               2.4973523                       49.490574
               2.5028169                       44.885704
               2.5082816                       44.307229
               2.5137463                       48.041396
               2.5192109                       55.154616
               2.5246756                        64.32276
               2.5301403                       74.476289
               2.5356049                       84.883144
               2.5410696                       95.045656
               2.5465343                       104.60855
               2.5519989                       113.30414
               2.5574636                       120.92277
               2.5629283                       127.29734
               2.5683929                       132.29524
               2.5738576                       135.81433
               2.5793222                       137.78102
               2.5847869                       138.14962
               2.5902516                       136.90241
               2.5957162                       134.05031
               2.6011809                       129.63417
               2.6066456                       123.72691
               2.6121102                       116.43722
               2.6175749                       107.91615
               2.6230396                        98.36882
               2.6285042                       88.076426
               2.6339689                       77.437549
               2.6394336                       67.044811
               2.6448982                       57.811535
               2.6503629                       51.095441
               2.6558276                       48.502536
               2.6612922                       50.943102
               2.6667569                       57.798894
               2.6722216                       67.560375
               2.6776862                       78.841446
               2.6831509                         90.6732
               2.6886156                       102.40876
               2.6940802                       113.59793
               2.6995449                       123.90812
               2.7050096                       133.08152
               2.7104742                       140.91281
               2.7159389                       147.23766
               2.7214036                       151.92695
               2.7268682                       154.88393
               2.7323329                       156.04319
               2.7377976                       155.37047
               2.7432622                       152.86323
               2.7487269                       148.55176
               2.7541916                       142.50116
               2.7596562                        134.8146
               2.7651209                        125.6391
               2.7705855                       115.17577
               2.7760502                       103.69905
               2.7815149                       91.593216
               2.7869795                       79.422587
               2.7924442                       68.059968
               2.7979089                       58.870746
               2.8033735                       53.737853
               2.8088382                       54.292273
               2.8143029                       60.516854
               2.8197675                       70.811787
