        s / mm                Y (ytest=0)/real
               183.81023                   -0.0002194067
               184.36239                  -0.00010557699
               184.91454                   1.0014436e-05
               185.46669                   0.00012648701
               186.01885                   0.00024312502
                 186.571                    0.0003591611
               187.12315                   0.00047362642
                187.6753                   0.00058568995
               188.22746                   0.00069462957
               188.77961                    0.0007995554
               189.33176                   0.00089964853
               189.88392                   0.00099427035
               190.43607                    0.0010826946
               190.98822                    0.0011641265
               191.54038                    0.0012379304
               192.09253                    0.0013036292
               192.64468                    0.0013606962
               193.19684                    0.0014085482
               193.74899                    0.0014467741
               194.30114                    0.0014751315
               194.85329                      0.00149334
               195.40545                    0.0015010973
                195.9576                    0.0014982899
               196.50975                    0.0014849584
               197.06191                     0.001461077
               197.61406                    0.0014266862
               198.16621                    0.0013820254
               198.71837                    0.0013273361
               199.27052                    0.0012629119
               199.82267                    0.0011892019
               200.37483                    0.0011066419
               200.92698                    0.0010157154
               201.47913                   0.00091707114
               202.03128                   0.00081136814
               202.58344                   0.00069926616
               203.13559                   0.00058155011
               203.68774                   0.00045904468
                204.2399                   0.00033255147
               204.79205                   0.00020295213
                205.3442                   7.1171433e-05
               205.89636                  -6.1904322e-05
               206.44851                   -0.0001953472
               207.00066                  -0.00032819162
               207.55282                  -0.00045950179
               208.10497                  -0.00058834765
               208.65712                  -0.00071382974
               209.20927                  -0.00083505415
               209.76143                  -0.00095108962
               210.31358                   -0.0010611223
               210.86573                   -0.0011644236
               211.41789                   -0.0012601641
               211.97004                   -0.0013476195
               212.52219                   -0.0014262401
               213.07435                   -0.0014953803
                213.6265                   -0.0015544592
               214.17865                   -0.0016031236
               214.73081                   -0.0016410003
               215.28296                   -0.0016677197
               215.83511                   -0.0016830641
               216.38726                   -0.0016869167
               216.93942                   -0.0016792313
               217.49157                   -0.0016599829
               218.04372                   -0.0016292532
               218.59588                   -0.0015873029
               219.14803                   -0.0015343569
               219.70018                   -0.0014706652
               220.25234                   -0.0013967267
               220.80449                   -0.0013130628
               221.35664                   -0.0012201338
                221.9088                   -0.0011185884
               222.46095                    -0.001009162
                223.0131                  -0.00089253778
               223.56525                  -0.00076951477
               224.11741                  -0.00064095931
               224.66956                  -0.00050769469
               225.22171                  -0.00037064189
               225.77387                  -0.00023078212
               226.32602                  -8.9027459e-05
               226.87817                   5.3667023e-05
               227.43033                   0.00019627157
               227.98248                   0.00033783047
               228.53463                     0.000477442
               229.08679                   0.00061409233
               229.63894                   0.00074676046
               230.19109                   0.00087466071
               230.74325                   0.00099701342
                231.2954                    0.0011127967
               231.84755                    0.0012211578
                232.3997                    0.0013215795
               232.95186                    0.0014133797
               233.50401                    0.0014957436
               234.05616                    0.0015682111
               234.60832                    0.0016304148
               235.16047                    0.0016817625
               235.71262                    0.0017219221
               236.26478                    0.0017508254
               236.81693                    0.0017681431
               237.36908                    0.0017736594
               237.92124                    0.0017675491
               238.47339                    0.0017498396
               239.02554                    0.0017205415
               239.57769                    0.0016799995
               240.12985                    0.0016285022
                 240.682                    0.0015662756
               241.23415                    0.0014938408
               241.78631                    0.0014117819
               242.33846                    0.0013205555
               242.89061                     0.001220776
               243.44277                    0.0011132319
               243.99492                   0.00099863016
               244.54707                   0.00087767907
               245.09923                   0.00075123293
               245.65138                   0.00062016562
               246.20353                   0.00048534069
               246.75568                   0.00034767933
               247.30784                   0.00020809345
               247.85999                   6.7470924e-05
               248.41214                  -7.3225248e-05
                248.9643                  -0.00021302288
               249.51645                   -0.0003510842
                250.0686                  -0.00048654062
               250.62076                  -0.00061840496
               251.17291                  -0.00074585728
               251.72506                  -0.00086818481
               252.27722                  -0.00098452589
               252.82937                   -0.0010941119
               253.38152                   -0.0011963743
               253.93367                   -0.0012906623
               254.48583                   -0.0013763242
               255.03798                   -0.0014529143
               255.59013                    -0.001520003
               256.14229                   -0.0015771381
               256.69444                   -0.0016240847
               257.24659                   -0.0016606538
               257.79875                   -0.0016865126
                258.3509                   -0.0017015708
               258.90305                   -0.0017060012
               259.45521                   -0.0016997471
               260.00736                    -0.001682771
               260.55951                   -0.0016554274
               261.11166                    -0.001617996
               261.66382                    -0.001570635
               262.21597                   -0.0015137974
               262.76812                   -0.0014479579
               263.32028                   -0.0013735068
               263.87243                   -0.0012910517
               264.42458                   -0.0012012093
               264.97674                   -0.0011045232
               265.52889                   -0.0010016998
               266.08104                  -0.00089347269
                266.6332                  -0.00078051838
               267.18535                  -0.00066358855
                267.7375                  -0.00054348129
               268.28965                  -0.00042099129
               268.84181                  -0.00029687548
               269.39396                  -0.00017187023
               269.94611                  -4.6824528e-05
               270.49827                   7.7405949e-05
               271.05042                    0.0002001564
               271.60257                   0.00032075384
               272.15473                    0.0004383682
               272.70688                   0.00055226978
               273.25903                   0.00066187881
               273.81119                    0.0007665681
               274.36334                   0.00086571397
