        Frequency / GHz                Z/abs,linear
               4.7706532                       697.22612
               4.7761179                       606.08412
               4.7815826                       502.84063
               4.7870472                       393.56099
               4.7925119                       288.70541
               4.7979766                       211.51478
               4.8034412                       203.88681
               4.8089059                       268.76429
               4.8143706                        362.3977
               4.8198352                       458.72688
               4.8252999                        546.9325
               4.8307645                       621.56919
               4.8362292                       679.38091
               4.8416939                       718.34538
               4.8471585                       737.35305
               4.8526232                       736.08472
               4.8580879                       714.95801
               4.8635525                       675.10362
               4.8690172                       618.36904
               4.8744819                       547.37809
               4.8799465                        465.7341
               4.8854112                       378.61778
               4.8908759                       294.50112
               4.8963405                       229.43483
               4.9018052                       209.56207
               4.9072699                       245.76318
               4.9127345                        314.7173
               4.9181992                       392.89903
               4.9236639                        468.1215
               4.9291285                        534.1006
               4.9345932                       587.15885
               4.9400579                       625.00731
               4.9455225                       646.29929
               4.9509872                       650.45581
               4.9564519                       637.59311
               4.9619165                       608.49539
               4.9673812                       564.62133
               4.9728459                       508.16311
               4.9783105                       442.22239
               4.9837752                       371.26738
               4.9892399                        302.2505
               4.9947045                       246.84717
               5.0001692                       222.30443
               5.0056339                       239.59104
               5.0110985                       288.47402
               5.0165632                       350.97157
               5.0220279                       414.83257
               5.0274925                        473.1105
               5.0329572                       521.69138
               5.0384218                        558.0083
               5.0438865                       580.49656
               5.0493512                       588.36483
               5.0548158                        581.4975
               5.0602805                       560.41765
               5.0657452                       526.28986
               5.0712098                       480.97203
               5.0766745                       427.15981
               5.0821392                         368.724
               5.0876038                       311.42318
               5.0930685                       264.05586
               5.0985332                       238.54792
               5.1039978                       243.95389
               5.1094625                       277.00942
               5.1149272                       325.70248
               5.1203918                        379.1185
               5.1258565                       430.10194
               5.1313212                       474.19104
               5.1367858                       508.55316
               5.1422505                       531.41667
               5.1477152                       541.80285
               5.1531798                       539.40348
               5.1586445                       524.53069
               5.1641092                       498.11175
               5.1695738                       461.72933
               5.1750385                        417.7329
               5.1805032                       369.47647
               5.1859678                       321.75335
               5.1914325                       281.34841
               5.1968972                       256.80138
               5.2023618                       255.11615
               5.2078265                       276.22554
               5.2132912                       312.94472
               5.2187558                       356.58853
               5.2242205                       400.39835
               5.2296852                       439.78072
               5.2351498                       471.70329
               5.2406145                        494.2138
               5.2460791                       506.16825
               5.2515438                       507.09304
               5.2570085                       497.12242
               5.2624731                        476.9831
               5.2679378                       448.02007
               5.2734025                       412.27534
               5.2788671                       372.64291
               5.2843318                       333.11104
               5.2897965                       298.97551
               5.2952611                       276.48643
               5.3007258                        270.9174
               5.3061905                       283.41217
               5.3116551                       310.07314
               5.3171198                       344.64249
               5.3225845                        381.3032
               5.3280491                       415.64338
