        Distance / mm                Charge distribution (distance) (xtest=5)/real
              -10.422196                   1.8240005e-08
              -10.101513                   1.8411782e-08
                -9.78083                   1.8579733e-08
               -9.460147                   1.8743724e-08
              -9.1394641                   1.8903625e-08
              -8.8187811                   1.9059307e-08
              -8.4980982                   1.9210642e-08
              -8.1774152                   1.9357509e-08
              -7.8567323                   1.9499785e-08
              -7.5360493                   1.9637354e-08
              -7.2153664                   1.9770101e-08
              -6.8946834                   1.9897916e-08
              -6.5740005                   2.0020693e-08
              -6.2533175                   2.0138327e-08
              -5.9326346                    2.025072e-08
              -5.6119516                   2.0357775e-08
              -5.2912687                   2.0459403e-08
              -4.9705857                   2.0555516e-08
              -4.6499028                   2.0646032e-08
              -4.3292198                   2.0730874e-08
              -4.0085369                   2.0809967e-08
              -3.6878539                   2.0883244e-08
               -3.367171                   2.0950641e-08
               -3.046488                     2.10121e-08
              -2.7258051                   2.1067567e-08
              -2.4051221                   2.1116994e-08
              -2.0844392                   2.1160338e-08
              -1.7637562                   2.1197561e-08
              -1.4430733                    2.122863e-08
              -1.1223903                   2.1253518e-08
             -0.80170737                   2.1272203e-08
             -0.48102442                   2.1284669e-08
             -0.16034147                   2.1290904e-08
              0.16034147                   2.1290904e-08
              0.48102442                   2.1284669e-08
              0.80170737                   2.1272203e-08
               1.1223903                   2.1253518e-08
               1.4430733                    2.122863e-08
               1.7637562                   2.1197561e-08
               2.0844392                   2.1160338e-08
               2.4051221                   2.1116994e-08
               2.7258051                   2.1067567e-08
                3.046488                     2.10121e-08
                3.367171                   2.0950641e-08
               3.6878539                   2.0883244e-08
               4.0085369                   2.0809967e-08
               4.3292198                   2.0730874e-08
               4.6499028                   2.0646032e-08
               4.9705857                   2.0555516e-08
               5.2912687                   2.0459403e-08
               5.6119516                   2.0357775e-08
               5.9326346                    2.025072e-08
               6.2533175                   2.0138327e-08
               6.5740005                   2.0020693e-08
               6.8946834                   1.9897916e-08
               7.2153664                   1.9770101e-08
               7.5360493                   1.9637354e-08
               7.8567323                   1.9499785e-08
               8.1774152                   1.9357509e-08
               8.4980982                   1.9210642e-08
               8.8187811                   1.9059307e-08
               9.1394641                   1.8903625e-08
                9.460147                   1.8743724e-08
                 9.78083                   1.8579733e-08
               10.101513                   1.8411782e-08
               10.422196                   1.8240005e-08
               10.742879                   1.8064539e-08
               11.063562                   1.7885521e-08
