        Frequency / GHz          Charge distribution spectrum/real
               2.4135951                   3.6003943e-10
               2.4230602                   3.5877078e-10
               2.4325252                   3.5750166e-10
               2.4419903                   3.5623211e-10
               2.4514554                   3.5496216e-10
               2.4609205                   3.5369186e-10
               2.4703856                   3.5242123e-10
               2.4798506                   3.5115032e-10
               2.4893157                   3.4987915e-10
               2.4987808                   3.4860777e-10
               2.5082459                   3.4733621e-10
                2.517711                   3.4606451e-10
                2.527176                    3.447927e-10
               2.5366411                   3.4352082e-10
               2.5461062                    3.422489e-10
               2.5555713                   3.4097698e-10
               2.5650363                    3.397051e-10
               2.5745014                   3.3843328e-10
               2.5839665                   3.3716157e-10
               2.5934316                   3.3588999e-10
               2.6028967                   3.3461859e-10
               2.6123617                   3.3334739e-10
               2.6218268                   3.3207644e-10
               2.6312919                   3.3080576e-10
                2.640757                   3.2953539e-10
               2.6502221                   3.2826537e-10
               2.6596871                   3.2699572e-10
               2.6691522                   3.2572648e-10
               2.6786173                   3.2445768e-10
               2.6880824                   3.2318937e-10
               2.6975475                   3.2192156e-10
               2.7070125                    3.206543e-10
               2.7164776                   3.1938761e-10
               2.7259427                   3.1812153e-10
               2.7354078                   3.1685609e-10
               2.7448728                   3.1559133e-10
               2.7543379                   3.1432727e-10
                2.763803                   3.1306395e-10
               2.7732681                    3.118014e-10
               2.7827332                   3.1053965e-10
               2.7921982                   3.0927874e-10
               2.8016633                   3.0801869e-10
               2.8111284                   3.0675953e-10
               2.8205935                    3.055013e-10
               2.8300586                   3.0424403e-10
               2.8395236                   3.0298775e-10
               2.8489887                   3.0173248e-10
               2.8584538                   3.0047827e-10
               2.8679189                   2.9922513e-10
               2.8773839                    2.979731e-10
                2.886849                   2.9672222e-10
               2.8963141                    2.954725e-10
               2.9057792                   2.9422398e-10
               2.9152443                   2.9297669e-10
               2.9247093                   2.9173065e-10
               2.9341744                    2.904859e-10
               2.9436395                   2.8924247e-10
               2.9531046                   2.8800038e-10
               2.9625697                   2.8675966e-10
               2.9720347                   2.8552035e-10
               2.9814998                   2.8428246e-10
               2.9909649                   2.8304603e-10
                 3.00043                   2.8181108e-10
               3.0098951                   2.8057764e-10
               3.0193601                   2.7934575e-10
