        s / mm                Z/real
               139.13433                     -0.53565628
                139.7144                     -0.53330572
               140.29447                     -0.52938242
               140.87454                       -0.523904
               141.45461                     -0.51689276
               142.03468                     -0.50837582
               142.61474                     -0.49838483
               143.19481                      -0.4869566
               143.77488                     -0.47413213
               144.35495                     -0.45995544
               144.93502                     -0.44447657
               145.51509                     -0.42774957
               146.09516                     -0.40982903
               146.67522                     -0.39077531
               147.25529                     -0.37065357
               147.83536                     -0.34952808
               148.41543                     -0.32746724
                148.9955                     -0.30454433
               149.57557                     -0.28083135
               150.15564                     -0.25640271
               150.73571                     -0.23133714
               151.31577                     -0.20571204
               151.89584                     -0.17960539
               152.47591                     -0.15309852
               153.05598                     -0.12627185
               153.63605                    -0.099204813
               154.21612                    -0.071978985
               154.79619                    -0.044675335
               155.37626                    -0.017372261
               155.95632                    0.0098513205
               156.53639                     0.036916211
               157.11646                     0.063746322
               157.69653                     0.090267556
                158.2766                      0.11640578
               158.85667                      0.14208898
               159.43674                       0.1672486
               160.01681                      0.19181794
               160.59687                       0.2157319
               161.17694                      0.23892833
               161.75701                      0.26134861
               162.33708                      0.28293693
               162.91715                      0.30363946
               163.49722                      0.32340575
               164.07729                      0.34218977
               164.65736                      0.35994831
               165.23742                      0.37664045
               165.81749                      0.39222942
               166.39756                      0.40668271
               166.97763                      0.41997053
                167.5577                      0.43206595
               168.13777                      0.44294663
               168.71784                      0.45259445
               169.29791                      0.46099291
               169.87797                      0.46812867
               170.45804                      0.47399469
               171.03811                      0.47858654
               171.61818                      0.48190012
               172.19825                      0.48393671
               172.77832                      0.48470295
               173.35839                      0.48420584
               173.93846                      0.48245454
               174.51852                       0.4794641
               175.09859                        0.475252
               175.67866                      0.46983605
               176.25873                      0.46323827
                176.8388                      0.45548465
               177.41887                      0.44660166
               177.99894                      0.43661802
               178.57901                      0.42556605
               179.15907                      0.41347987
               179.73914                      0.40039492
               180.31921                      0.38634846
               180.89928                      0.37138025
               181.47935                      0.35553186
               182.05942                      0.33884535
               182.63949                      0.32136474
               183.21956                      0.30313624
               183.79962                      0.28420565
               184.37969                      0.26462006
               184.95976                      0.24442974
               185.53983                      0.22368433
                186.1199                      0.20243234
               186.69997                      0.18072559
               187.28004                      0.15861718
               187.86011                       0.1361579
               188.44017                      0.11339965
               189.02024                     0.090396825
               189.60031                     0.067202616
               190.18038                     0.043868977
               190.76045                     0.020449707
               191.34052                   -0.0030006432
               191.92059                    -0.026429778
               192.50066                    -0.049785423
               193.08072                     -0.07301316
               193.66079                    -0.096060179
               194.24086                     -0.11887577
               194.82093                     -0.14140782
                 195.401                      -0.1636041
               195.98107                     -0.18541432
               196.56114                     -0.20678908
               197.14121                     -0.22767907
               197.72127                     -0.24803496
               198.30134                     -0.26780951
               198.88141                     -0.28695728
               199.46148                     -0.30543156
               200.04155                     -0.32318734
               200.62162                     -0.34018298
               201.20169                     -0.35637581
               201.78176                     -0.37172422
               202.36182                     -0.38619064
               202.94189                     -0.39973714
               203.52196                     -0.41232656
               204.10203                     -0.42392571
                204.6821                     -0.43450222
               205.26217                     -0.44402459
               205.84224                     -0.45246474
               206.42231                     -0.45979664
               207.00237                      -0.4659957
               207.58244                     -0.47103929
               208.16251                     -0.47490794
               208.74258                     -0.47758552
               209.32265                     -0.47905653
               209.90272                     -0.47930807
               210.48279                     -0.47833251
               211.06286                     -0.47612322
               211.64292                     -0.47267516
               212.22299                     -0.46798896
               212.80306                     -0.46206722
               213.38313                     -0.45491432
                213.9632                     -0.44653984
               214.54327                      -0.4369556
               215.12334                     -0.42617609
               215.70341                     -0.41422064
               216.28347                     -0.40111015
               216.86354                     -0.38686901
               217.44361                     -0.37152735
               218.02368                     -0.35511604
               218.60375                     -0.33766853
               219.18382                     -0.31922457
               219.76389                     -0.29982551
               220.34396                     -0.27951464
               220.92402                     -0.25834078
               221.50409                     -0.23635457
               222.08416                     -0.21360832
               222.66423                     -0.19015925
                223.2443                       -0.166067
               223.82437                     -0.14139245
               224.40444                     -0.11619962
                224.9845                    -0.090555045
               225.56457                    -0.064527476
               226.14464                    -0.038187389
               226.72471                     -0.01160618
               227.30478                     0.015142109
               227.88485                     0.041981734
               228.46492                     0.068837724
               229.04499                     0.095632811
               229.62505                      0.12228788
               230.20512                      0.14872655
               230.78519                      0.17487125
               231.36526                      0.20064144
               231.94533                      0.22595991
                232.5254                      0.25075122
               233.10547                      0.27493787
               233.68554                      0.29844418
                234.2656                       0.3211971
               234.84567                      0.34312461
               235.42574                       0.3641566
               236.00581                      0.38422441
               236.58588                      0.40326225
               237.16595                      0.42120884
               237.74602                      0.43800364
               238.32609                       0.4535881
               238.90615                      0.46791075
               239.48622                      0.48092283
               240.06629                      0.49257554
               240.64636                      0.50282728
               241.22643                      0.51164269
                241.8065                      0.51898686
               242.38657                      0.52482939
               242.96664                       0.5291473
                243.5467                      0.53192165
               244.12677                      0.53313669
               244.70684                      0.53278177
               245.28691                      0.53085324
               245.86698                      0.52735208
               246.44705                      0.52228161
               247.02712                      0.51565239
               247.60719                      0.50748195
               248.18725                      0.49778918
               248.76732                      0.48659861
               249.34739                      0.47394295
               249.92746                      0.45985717
               250.50753                      0.44437987
                251.0876                       0.4275569
               251.66767                      0.40943821
               252.24774                      0.39007654
                252.8278                      0.36952959
               253.40787                      0.34786001
               253.98794                      0.32513348
               254.56801                      0.30141837
               255.14808                      0.27678783
               255.72815                      0.25131819
               256.30822                      0.22508663
               256.88829                      0.19817446
               257.46835                      0.17066669
               258.04842                      0.14264751
               258.62849                        0.114203
               259.20856                     0.085423094
               259.78863                     0.056397488
                260.3687                     0.027215476
               260.94877                   -0.0020321147
               261.52884                    -0.031253795
                262.1089                    -0.060358525
               262.68897                    -0.089256844
               263.26904                     -0.11785995
               263.84911                     -0.14607831
               264.42918                     -0.17382478
               265.00925                       -0.201016
               265.58932                     -0.22756878
               266.16939                     -0.25340051
               266.74945                     -0.27843386
               267.32952                      -0.3025953
               267.90959                     -0.32581126
               268.48966                     -0.34801194
               269.06973                     -0.36913396
                269.6498                     -0.38911583
               270.22987                      -0.4078982
               270.80994                     -0.42542899
                  271.39                     -0.44166056
               271.97007                     -0.45654633
               272.55014                     -0.47004603
               273.13021                     -0.48212657
               273.71028                     -0.49275656
               274.29035                     -0.50190875
               274.87042                     -0.50956399
               275.45049                     -0.51570696
               276.03055                      -0.5203252
               276.61062                     -0.52341287
               277.19069                     -0.52496974
               277.77076                     -0.52499939
               278.35083                     -0.52350983
                278.9309                     -0.52051394
               279.51097                     -0.51603012
               280.09104                      -0.5100813
                280.6711                     -0.50269307
               281.25117                     -0.49389608
               281.83124                      -0.4837267
               282.41131                     -0.47222315
               282.99138                     -0.45942697
               283.57145                     -0.44538562
               284.15152                     -0.43014868
               284.73159                     -0.41376739
               285.31165                     -0.39629781
               285.89172                      -0.3777989
               286.47179                     -0.35833066
               287.05186                     -0.33795543
               287.63193                     -0.31673854
                 288.212                     -0.29474718
               288.79207                     -0.27204843
               289.37214                     -0.24871115
                289.9522                     -0.22480769
               290.53227                     -0.20040884
               291.11234                      -0.1755843
               291.69241                     -0.15040788
               292.27248                     -0.12495296
               292.85255                    -0.099289497
               293.43262                    -0.073489372
               294.01269                    -0.047626081
               294.59275                    -0.021769528
               295.17282                    0.0040128151
               295.75289                     0.029650983
               296.33296                     0.055075165
               296.91303                     0.080222018
                297.4931                        0.105029
               298.07317                      0.12942949
               298.65323                      0.15336283
                299.2333                      0.17677436
               299.81337                      0.19960504
               300.39344                      0.22179774
               300.97351                      0.24330381
               301.55358                      0.26407408
               302.13365                      0.28405824
               302.71372                      0.30321217
               303.29378                      0.32149551
               303.87385                      0.33886813
               304.45392                      0.35529212
               305.03399                      0.37073366
               305.61406                      0.38516238
               306.19413                      0.39854931
                306.7742                       0.4108675
               307.35427                      0.42209472
               307.93433                      0.43221167
                308.5144                      0.44119961
               309.09447                      0.44904298
               309.67454                      0.45573102
               310.25461                      0.46125468
               310.83468                      0.46560586
               311.41475                      0.46878065
               311.99482                      0.47077881
               312.57488                      0.47160046
               313.15495                      0.47124814
               313.73502                      0.46972947
               314.31509                      0.46705329
               314.89516                      0.46322824
               315.47523                      0.45826779
                316.0553                       0.4521893
               316.63537                      0.44500896
               317.21543                      0.43674527
                317.7955                      0.42742189
               318.37557                       0.4170627
               318.95564                      0.40569179
               319.53571                       0.3933377
               320.11578                      0.38003118
               320.69585                      0.36580258
               321.27592                      0.35068444
